date,text,c2,c3,c4,c5,c6,c7
1/31/2019 23:59,یارو میگفت:ما تو ایران همه چی داریم...آزادی داریم...استقلال داریم...مطبوعات آزاد داریم...غذا داریم...گوشت داریم...مرغ داریم...خونه داریم...ماشین داریم...خانم داریم....با پستون های اعلا...خلاصه همه چی داریم...هرکی غیر ازین بگه زر زده...اگه پولتون به هیچکدوم نمیرسه،خب به تخمم!!,0,0,109,14,38,428
1/31/2019 23:59,RT : بالأخره همین #برجام بی‌خاصیت، منتهی به این شد که #اروپا-حتی اگر دلش هم نمی‌خواست- به بازگشائی یک مسیر برای تبادلات مالی…,90,0,110,1365,274,14174
1/31/2019 23:59,RT : نیستی اما هنوزم اینجایی پدر ❤️,4,0,111,1063,1060,2627
1/31/2019 23:59,RT : من شهروند تهرانمنماینده من آن #سی_شلغم_بنفش آرمیده بر صندلی های مجلس نیستندنماینده من #محمد_بهنیا کارمند شریف گمرک است ک…,1506,0,0,144,220,184
1/31/2019 23:59, ابروهات پره خییلی خوشگله😍,0,1,112,345,93,2309
1/31/2019 23:59,تکنولوژی نظامی که میگن اینه.   تا حال چند بار اومده حریم هوایی  ایران رفته کسی نفهمیده. فرمانده پدافند به خاطر همین موضوع برکنار شده. ,0,0,113,301,572,8938
1/31/2019 23:59,RT : مصاحبه اختصاصی با شاهزاده رضا پهلوی و شهبانو فرح پهلوی نوروز ۱۳۹۴ ,15,0,10,481,4998,4875
1/31/2019 23:59,RT : ذوالفقار حیدریم یکباره طوفان می کنیمپایگاه کفر را با خاک یکسان می کنیمخدشه ای وارد شود بر مرقد آل علیکربلا را تا مدینه بیت ال…,5,0,114,586,359,5057
1/31/2019 23:59,امیدوارم فردا روز مفیدتری باشه.,0,9,115,534,179,12758
1/31/2019 23:59," منم از بالا شروع كردم به خوندن تا رسيدم به اينجا، سالهاست از رشت دورم، اين تيكه هاي رشتي رو اينجا مي خونم دلم غنج مي رهمثلا همين ""داره"" تو اين جمله😊",0,1,116,10,7,61
1/31/2019 23:59, من نمیدونم😁,0,1,117,23773,3430,180236
1/31/2019 23:59,RT : همه تن چشم شدم خیره به دنبال تو گشتمدقیقاحس و حال امروز من بود 😉😍یه حس خوب. خیلی خوب، ک نمیتونم کلمه ای برا توصیفش پیداکنم…,70,0,118,907,906,874
1/31/2019 23:59,RT : رأی ما مشخص است#نه_به_جمهوری_اسلامی ,1,0,119,591,617,11951
1/31/2019 23:59, از بابت تایید فقط این را اضافه کنم، بسیاری از اعضای کمیته‌ها و فرماندهان سپاه از نوچه‌های طیب حاج‌رضایی و امثال او بودند.*امیدوار.,0,2,120,17,107,289
1/31/2019 23:59,RT : بچه که بودم عاشق کتابهام بودم عمرا نمیدادم یه روز مامانم اومد گفت حالا یه بار بدی داداشت بخونه چیزی نمیشه هااونم داشت گریه م…,3,0,76,2554,96,5664
1/31/2019 23:59, مجاهدین خلق شورای انقلاب هستند؟!من سایتشون را نگاه می کنم چنین تعبیری خودشون هم نمی گن.,0,1,121,675,496,4952
1/31/2019 23:59,به نیت پنج تن آل ابا ۵ :) ,0,16,122,1941,669,6146
1/31/2019 23:59,🔻دیپلمات ارشد لهستانی:🔻ساز و کار مالی ویژه اتحادیه #اروپا با #ایران از هیچ اهمیتی برخوردار نیست. #SPV نوعی ژست نمادین برای حفظ وجهه اتحادیه اروپا است. ,1,3,123,1669,2349,11138
1/31/2019 23:59,ساخت بیش از ۴۰ نوع رادار پیشرفته در سایت های مجهز ...یا علی مدد#مشق_39,11,16,124,66,407,16
1/31/2019 23:59,RT : +تنها امیدت برا زندگی چیه؟-رسیدن به یه پایان خوش#شهادت ,4,0,125,340,598,63
1/31/2019 23:59,  ولی من تا اینجای زندگیم که خیلی لذت بردم,0,0,126,23,147,669
1/31/2019 23:59, میبینم که کونت پارس هه 😂😂,0,2,127,270,160,648
1/31/2019 23:59, ببینید منظورم اینه که مثلا هر اتفاق بزرگی که در ادبیات افتاده مثلا هوشنگ ابتهاج فلان روز به دنیا اومده یا عارف قزوینی در فلان روز از دنیا رفته یا اولین بار جایزه‌ی جلال آل‌احمد در فلان روز برگزار شده و...تمام این فلان روزها مثلا در اول بهمن اتفاق افتاده باشه.,0,0,128,1961,1610,19913
1/31/2019 23:59,RT : خوابم نمبیره ، امام تو راهه استرس دارم😖 ,15,0,129,879,498,7863
1/31/2019 23:59,هر طوری فکر میکنم خیلی اخلاقم تخمیه، چطوری تحملم میکنید؟!؟! :))))),0,13,130,258,379,1532
1/31/2019 23:59,RT : امام همیشه از اتحاد میترسیدند#تشکیل_شورای_انقلاب,7,0,107,47,69,1293
1/31/2019 23:59, چه کتابخونه های کسشری. برا ما اینطوری کونی بازی نبود,0,0,131,66,126,266
1/31/2019 23:59,  چیه؟😒,0,0,132,17,95,35
1/31/2019 23:59, هکسره؟,0,0,133,1134,201,76537
1/31/2019 23:59, آره الان که وقتش نی😁,0,1,134,206,375,12275
1/31/2019 23:59, نه هنوز فرصت هست برای این رویا,0,1,135,2051,159,31040
1/31/2019 23:59,RT : میدونستین من میترسم برم بچسبم به این پنجره ها؟ ,2,0,136,26719,485,39468
1/31/2019 23:59,RT : مگه gta كه راننده تاكسى ژ٣ داره!؟!,26,0,118,907,906,874
1/31/2019 23:59,#حديثامام صادق علیه السلام:هرصنعتگرى براى جلب مشترى ناگزير ازداشتن سه خصلت است:۱↫ دركارش مهارت داشته باشد۲↫ دركارش امانتدارباشد۳↫ ورضايت خاطر كسى راكهبه اوسفارش كار داده است،بدست آورد.به نظر شما چند درصد از صنعتگران ما این سه صفات رو دارن؟!مخصوصا خودرو سازها...! ,0,10,137,1958,1826,3997
1/31/2019 23:59, چایی با همه چی خوبه,0,1,138,1658,728,126
1/31/2019 23:59,   پاک شده ، دیگه اینم چونه زدن داره؟؟؟,1,9,139,1216,691,6531
1/31/2019 23:59, نه دوسش دارم,0,1,140,22,52,44
1/31/2019 23:59,RT :    #BestCoverSong #iHeartAwards #MeMyselfAndI سیا,11,0,141,18,39,842
1/31/2019 23:59, امیدوارم شخص مورد نظرتون نخ رو گرفته باشه :)))),0,0,142,979,226,6013
1/31/2019 23:59,RT : کیک زرد واتمی برای حفظ نظام به جای نان وآب برای حفظ مردم.                           🔔 محموله ۳۰ تنی کیک زرد تولیدی کارخ…,1,0,143,121,95,9678
1/31/2019 23:59, 30 بشی دوباره مثل من لذت می‌بری :))),0,1,144,82,230,3039
1/31/2019 23:59, این شادمهره؟ :)))),0,0,145,143,107,2090
1/31/2019 23:59,RT : به قول هابرمارس و ویتگنشتاین ،تمایلات انسان نقش موثری در منطق سازی او داردحسینعلی #منتظری دهه ۶۰:کسانی که در مقابل نظام…,624,0,0,144,220,184
